query	clarifying_question	flag
do you want to buy old coins	want to know which antennas ham radios use	0
are you interested in the years inuyasha was shown in tv	are you referring to facebook instagram linkedin or twitter regarding educational advantages	0
what aspect of the last supper painting are you interested in	are you experiencing a heart attack	0
would you like a list of websites that show workouts for elliptical trainers	would you like to see a map of roosevelt island	0
are you looking to see how much computer programming lessons cost	are you looking for foodie halloween activities for middle school	0
are you looking for the nearest junck yard	are you interested in sun tzus family	0
Find me map of USA	do you want to see a map of the continental united states	1
would you like to see a list of medical professionals who specialize in balding	what would you like to know about the collaborative nature of wiki	0
tell me about Voyager	would you like to know where the voyager is today	1
are you looking for golf ball sized gps technologies	what information about woman are you looking for	0
do you wish to hear about the rumoured curse of the bewitched cast	are you looking for health facts of butter and mararine	0
are you interested in who is the ceo	are you interested in raffles in which one can enter and win	0
do you want information on treatments for fibromyalgia	would you like to learn more about pvc pipes and fittings	0
tell me about iron	are you interested in knowing how iron is made	1
are you looking for information on the life cycle of worms	do you want an app for the sentinel	0
which of sun tzus writings are you interested in	do you need directions to the indiana state fairgrounds	0
are you looking for doctors that treat sore throats	are you looking for a restaurant in darmstadt	0
are you looking for a second hand music store near you	does the evidence have to be factual	0
How do I get my free annual credit report?	would you like to know about the process of disputing credit report	1
are you asking about health benefits	are you asking about the evolution of plants or animals	0
do you want some quotes from the movie	what information do you need about bart sf	0
do you want to know about specific key people	do you want to know how to get a license	0
figs	are you interested in figs health benefits	1
Tell me about cell phones.	were you looking for how cell phones work	1
I'm looking for information on web design and hosting.	are you interested in free websites or would you like your own domain	1
Tell me about of Ralph Owen Brester.	how old is ralph owen brewseter	1
what is ralph owen brewsters education	do you want to know his most important discoveries	0
would you like the legal definition of diversity	do you want the contact info for alexian brothers hospital	0
Where can I find cheap internet	are you wondering which provider has the cheapest internet	1
Find me information about the sales tax in Illinois.	do you want to get helping completing your illinois state tax return	1
how to hire disc jockey	do you want to go to a djs website	1
are you referring to facebook instagram linkedin or twitter regarding educational advantages	do you want directions to traverse city from your current location	0
are you looking for some fun facts	are you referring to the search engine	0
Tell me about kansas city mo	are you interested in job openeings in kansas city mo	1
would you liketo know where kiwi fruit is grown	which gs tax bracket are you looking for	0
are you looking for a clinic that specializes in this	do you want to learn where to purchase fishing bait	0
I’m looking for blue throated hummingbird	do you want to learn more about how blue throated hummingbirds mate	1
tell me about Voyager	would you like to know where the voyager is today	1
would you like to know what age men may start male menopause	would you like to know the symptoms of a tooth abscess	0
would you rather read some reviews about avp antivirus	do you want interpretation of running down	0
are you interested in the cost of living in india	do you need a hotel	0
Find information about elliptical trainer	are you looking for a suitable elliptical machine to use at home	1
Give me air travel information.	where are you looking to travel to	1
I'm looking for information on common schizophrenia drugs	are you wanting to find out side effects of common schizophrenia drugs	1
tell me about UNC	would you like to learn about the unc campuses	1
who invented music	do you wish to know how music videos started	1
do you want to know about specific african american musicians	do you want to know about specific african american musicians	0
what size motor does the ford edge with problems have	are you taking the bart from san francisco international airport	0
would you like to see a company with this name	are you wanting to know the illnesses that list sore throat as a symptom	0
do you want to know how to avoid angular cheilitis	would you like to know who bombed the uss cole	0
are you referring to the nile river	are you referring to the nile river	0
I'm looking for information on hobby stores	are you looking for stores that are currently open	1
would you like to know about obamas ancestors	would you like to know about obamas ancestors	0
are you interested in learning how to calculate materials for a hip roof	are you worried your forearm pain means you have a broken bone	0
do you want to know about indoor or outdoor grilling	do you want to know about the cause of von willebrand disease	0
would you like to see a list of medical professionals who specialize in balding	would you like to know about raspberry pi os	0
did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want	would you like to know about the television show mister rogers neighborhood	0
Tell me more on health clubs in Arkansas	are you looking for multiple health clubs in arkadelphia ar	1
do you want to know the tangible personal property tax	are you looking for the price of solar water fountains	0
do you want to know where the uss yorktown is currently located	is there a specific time period you are interested in	0
What are problems with ford edge?	would you like to read reliability reports on the ford edge	1
are you interested in cultivated or wild bobcats	do you want to know if there is tour information on the us capitol map	0
do you want a map of your local area	do you want suggestions for things to do in old town scottsdale	0
Find me information about the Last Supper painting.	would you like to purchase tickets to view the painting in milan	1
What is martha stewart and imclone?	are you seeking to watch martha stewart and imclone	1
do you wish to hear about the rumoured curse of the bewitched cast	are you searching for an address for the schools	0
do you want to know how to use the bowflex power pro	what type of information about raised gardens are you looking for	0
i can give you a list of all movies he starred is that what you want	are you referring to the the department of natural resources in maryland	0
are you interested to fill a survey for them	what specific types of solar water fountains are you interested in	0
Find information about the wall	do you neeed dry wall products	1
do you want to know who is eligible for the tangible personal property tax	are you interested about uss coles service history	0
I'm looking for information on VLDL levels	would you like to know how to get your vldl levels tested	1
Tell me about Bellevue.	are you looking for directions to bellevue	1
how does carpenterter bee look like	are you talking about a ps/2 connector or a usb connector	0
Tell me about Starbucks.	which starbucks location do you need information for	1
are you interested in the signs one may show for mad cow disease	would you like to book a flight at ontario california airport	0
are you looking for some medication	are you looking to find out unique middle names that presidents have had	0
Find information about atari	would you like to play atari arcade games online	1
do you want to sell used car parts	which party do you want results from	0
would you liketo know where kiwi fruit is grown	do you need contact information	0
I'm looking for information on Rick Warren.	are you wanting to see sermons by the pastor	1
Tell me more about satilies	do you want to figure out the benefits of satellite tv over cable tv	1
would you like to know how butter and margarine affect the food you eat	do you want to improve your memory	0
Find me map of USA	would you like to know more about us roads	1
would you like to place an order	what kind of information do you need about rock and gem shows	0
are you wanting to renovate your home in order to have a theater system	do you want to know who owns the company imclone	0
what are your budget priorities for your wedding	would you like to know who founded google	0
are you referring to the the department of natural resources in maryland	would you like to know what pvc is made of	0
Tell me about scooters.	will this be for an adult or child	1
would you like to know more about chest pain	what specific brand of dark chocolate are you interested in	0
which reporters are you interested in reading articles from	are you searching for a specific airport	0
what do you need to know about wilsons disease	would you like to know more about their responsibilities	0
what would you like to know about mister rogers	what types of benefits of yoga would you like to know about	0
are you wanting writings by the pastor	are you interested in remedies that are proven effective for treating a sore throat	0
do you want to take a sat prep class	do you want to know what madam cj walker is famous for	0
are you looking for dreams interpretations regarding the bible	do you want to know what the best thing about living in india is	0
what images of joints would you like to see	would you like to learn about symptoms of magnesium deficiency	0
Find information about atari	are you interested in buying a new atari game console	1
How to cook pork tenderlion	are you purchasing pork tenderloin today	1
what place do you want a map of	is there certain information you would like about roosevelt island	0
are you interested in the full name of the current president of the united states	do you want to listen to songs from the music man	0
i can give you a list of all movies he starred is that what you want	would you like to know how to avoid capital gains tax rate	0
would you like to know about the brooks brothers clearance return policy	are you looking for the bph treatment guidelines	0
do you need a home appraisal	are you interested in the the nutritional value of butter and margarine	0
are you looking for information on the cherokee tribe	what location do you want to find a hobby store in	0
are you interested in where they grow	what kind of information about von willebrand disease do you want to see	0
are you interested in buying tickets to a raffle	are you looking for a chain or botique hotel	0
are you asking about a specific theorist	do you want to know where to get a book on the voyager	0
do you have questions about the wilson antenna warrenty	would you like to know if the afghanistan flag has any symbols	0
are you looking for what mgb stands for	are you interested about uss coles service history	0
are you a dj	would you like to see services for the culpeper national cemetary today	0
are you referring to the time magazine essay	are you interested in knowng the earthquake intensities recorded by the hawaiian volcano observatories	0
Find Brooks Brothers clearance.	do you want to know about brooks brothers clearance center in garland nc	1
do youwant to know what year idaho declared a state flower	would you like to see the definitions of appraisal	0
is this an emergency	do you want to know the value of old coins	0
what are the seven deadly sins	do you want to know more about one of the seven deadly sins	1
would you like a list of websites that show workouts for elliptical trainers	would you like to know about raspberry pi camera	0
all men are created equal	would you like to learn more about thomas jefferson	1
What are characteristics of Uranus	are you wondering the size of uranus	1
would you like to know how to sew a dress	may i provide you a list of best credit reporting agencies	0
did you want to know the amount of tourism dutchess county gets	what price range of cell phones are you interested in	0
I'm interested in InuYasha	would any specific game interest you	1
I'm looking for keyboard reviews	are you interested in digital pianos	1
I'm looking for keyboard reviews	do you just want to rated keyboards	1
Give me information about Titan.	are you referring to titan the moon of saturn	1
what kind of information do you need about rock and gem shows	are you looking for a store that sells trombones near you	0
I'm looking for a wedding budget calculator	did you want to see a wedding budget based on your income	1
do you need a phone number	do you need a phone number	0
How can I quick smoking	do you want information on how many people successfully quit smoking	1
What are signs of a heartattack?	would you like to see ways of temporarily slowing a heart attack	1
Find me map of USA	are you interested in learning more about the us map	1
Find me information on sat	do you need any specific information about sat grades	1
would you like to know what their rating is compare to other car companies	do you want to know how many different types of worms there are	0
would you like a list of rock and gem shows in 2019	would you like a list of rock and gem shows in 2019	0
Tell me about Internet phone serices.	do you need technical support related to your service	1
do you want to know who the main actor is in er tv show	would you like to know about the dangers of asbestos removal	0
what year do you want to know the president for	would you like to know the location of old town scottsdale	0
are you looking for ron howard biographies	would you like to see a price range for appraisals	0
would you like a list of websites that show workouts for elliptical trainers	would you like to know how long eggs last past their expiration	0
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	what is ralph owen brewser famous for	0
What can I do in sherwood regional library	do you want to check out a certain book or see if it is available	1
are you interested in images of the kiwi fruit	are you interested in knowng what common drugs can treat schizophrenia	0
did you want something online that does calculations for you	do you have a designated date and time you would want the hayride in pennsylvania	0
would you like to know why dogs heat up	what major are you interested in	0
are you interested in pictures of worms	do you want to know the responsibilities of a paralegal	0
I want to learn about rock art.	do you want the history of rock art	1
would you like to see videos on how its made	do you want to find online golf tutorials	0
would you like the instructions for electronic skeet shoot	are you wanting to join a diabetes education gtoup	0
is the ps 2 games for a child or an adult	do you want to know about treatments	0
do you need directions to culpeper national cemetery	are you interested in a list of companies in which you can get credit reports	0
Tell me about scooters.	are you looking to buy a scooter	1
do you want movie reviews	do you want movie reviews	0
are you interested in buying some	do you want to know the price of hp mini 2140	0
would you like a list of websites that show workouts for elliptical trainers	are you interested in civil war battle memorials and other structures in south carolina	0
what type of information about raised gardens are you looking for	who is ralph owen brewster	0
are you interested in where they grow	is there a specific brand that you would like to know more about	0
what type of information about raised gardens are you looking for	would you like to know more about the city	0
would you like to know what age men may start male menopause	do you want to know where dark chocolate is made	0
do you want to know the cost of the commonly used drug	do you want to learn how to make furniture	0
are you looking for a special news	are you wanting the rates for the ritz carlton in las vegas	0
how much data do you need stored	are you looking for bellevue baptist church	0
are you looking for specific information regarding an equal opportunity employer	are you interested in historical medical treatment for sore throats	0
Tell me about designer dog breeds.	do you want to know where to buy a designer dog breed	1
are you looking for things to do around that area	are you interested in alabama towns named after tribes	0
what colors do you want to use	what are your budget priorities for your wedding	0
would you like to know about walkers method of perming hair	are you trying to find an airline	0
do you want information about fees for indexed annuities	do you need to find out about airport weather delays	0
what type of information about raised gardens are you looking for	are you looking for a particular casino in french lick	0
I want to learn about rock art.	would you like to know anything specific about rock music	1
are you interested in the full name of the current president of the united states	would you like to see a listing for hotels in kansas city	0
what year do you want to know the president for	are you interested in seeing the bhp treatment options	0
Where can I find cheap internet	how do you know if your internet service is inexpensive	1
are you considering purchasing an indexed annuity	what about norway spruce are you looking for	0
would you like to know how south carolina was affected by the battles fought on its ground	are you looking for bart travel schedules	0
would you like to see a company with this name	would you like to buy a home theater system	0
what is the heart rate youre looking to achieve	do you need a list of available new york hotels	0
do you want to know the differences between the novel and the movie	do you want to know how long the hawaiian volcano observatories has been monitoring kilauea	0
Tell me more about Culpeper National Cemetry	do you need the address of culpeper national cemetery	1
I'm looking for information on web design and hosting.	would you like to take some courses on web design	1
do you want to learn how to install weater strips on windows	do you want to see a picture of atypical squamous cells	0
Tell me more about horse hooves	would you like to know about horse hooves diseases	1
are you interested in the history of the korean language	what causes carotid cavernous fistula	0
would you liketo know where kiwi fruit is grown	would you like to know what age men may start male menopause	0
would you like to learn about how the usda food pyramid was created	are you looking for a specific price range	0
Give me espn sports information.	are you looking for information on a specific league	1
would you like to file your income tax return online	are you interested in a specific golf gps system	0
do you need traveling assistance or direction	are you interested in the causes of tooth abscesses	0
are you interested in visiting ontario california airport	what is the average speed of f5 tornado	0
I am looking for sources of used car parts.	are you looking for a specific web site	1
did you want to know how to treat mad cow disease	do you want to know how black and gold have been used in products	0
would you like to know more about the cultural impact of teddy bears	do you want to know how a us president is elected	0
would you like to learn about the real story that inspired the movie	are you looking for gmat prep classes near you	0
I'm looking for information on dieting	are you interested in reading some inspirational quotations about dieting	1
would you like to know how south carolina was affected by the battles fought on its ground	would you like to know the distance of south africa	0
would you like to know how butter and margarine affect the food you eat	are you looking for raffle tickets in your area to purchase	0
Tell me about the pacific northwest laboratory.	are you looking for lab jobs	1
What is martha stewart and imclone?	do you want to know if martha stweart works for the company	1
are you looking for the difference between insect bites and spider bites	are you trying to compare different ron howard movies	0
what would you like to know about the afghanistan flag	which president are you looking for	0
Tell me about kansas city mo	would you like to know the weather in kansas city	1
do you want black and white or colored designs	do you want a history of the nile	0
Information about raffles	would you like to book a room in raffles hotel in dubai	1
I'm looking for information on VLDL levels	would you like to know more about ldl	1
are you interested in a pressure distributon design 2 feet of absorbant soil	do you need to identify a moth	0
would you like to recycle lead acid batteries for money or for free	are you trying to make art rock	0
what category are you searching for raffles in	are you wanting to know more about the entrance requirements	0
What are the best recepies for grilling	do you want to see cookbooks for grilling	1
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	are you interested in human body joints classifications	0
I need information about the University of Phoenix.	are you interested in comparing university of phoenix with other universities in any specific aspect	1
are you interested in jobs at mayo clinic jacksonville fl	are you interested in learning about the challenges of treating jehovahs witnesses	0
are you interested in jehovahs witnesses and blood transfusions	are you looking for a test to check for ocd	0
do you want to take a sat prep class	do you want to know facts about the creature worm	0
would you like to know where to get treatment	what gs pay scale are you looking for	0
Tell me more about Euclid	are you interested in learning about the greek mathmetician	1
tell me about UNC	would you like information on the university of north carolina unc	1
Find sewing instructions for me	using needle and thread or a sewing machine	1
would you like me to direct you to emergency services	do you want to learn about the history of dieting	0
I'm looking for information on the president of the united states	are you interested in learning about a presidents power	1
tell me about symptoms of mad cow disease in humans	do you want to know what causes mad cow disease	1
do you want a designer dog	what would you like to know about culpeper national cemetary	0
are you looking for advice on how to play soccer	are you interested in health care specifically for jehovahs witnesses	0
Tell me about of Ralph Owen Brester.	what is ralph owen brewser famous for	1
I'm looking for information on jax chemical company	are you looking for some retailers	1
are you interested in the full name of the current president of the united states	do you want to know the population	0
do you plan to sign up for coverage online	are you looking for a class for elliptical trainer	0
what do you need to know about wilsons disease	would you like to see fun halloween science activities for middle school	0
would you like to place an order	do you want to know the address	0
I'm looking for information on the president of the united states	are you looking for the first president ever	1
Tell me information about computer programming.	are you interested in the history of computer programming	1
How can I adopt a dog	how big do you want your dog	1
Tell me more about Culpeper National Cemetry	do you want to visit culpeper national cemetery	1
are you looking for who invented the first instruments	do you need to find hunting and fishing grounds in arizona	0
would you like to know how south carolina was affected by the battles fought on its ground	do you want to know the cost of attending the university of phoenix	0
are you looking for anything specific of a tv show	are you interested in a specific pose	0
Tell me more about us presidents	are you interested in finding out the middle name of the most recent presidents	1
are you interested in how african american music influenced american culture	do need to see any specific information about 403b eligibility	0
are you looking for any specific facilities	are you referring to lipomassage	0
are you looking for doctors that treat sore throats	are you interested in a specific aspect of uplift at yellowstone national park	0
tell me about memory	looking for shops that sell the board game memory	1
are you looking for any specific heatrelated illness in dogs	do you want to know why the food pyramid was created	0
Where can I buy pressure washers?	are you wondering how a pressure washer works	1
what historic period would you like information pertaining to	would you like to know how to assemble a teddy bear	0
would you like to buy supplements	are you looking for an occupational therapist	0
I’m looking for blue throated hummingbird	would you like information about their breeding	1
are you interested in coloring books	would you like a lyric video	0
did you want to know how to treat mad cow disease	would you like to see the hours of the sherwood regional library	0
would you like to buy supplements	would you like to read some reviews of the ritz carlton lake las vegas	0
are you looking for information on the cast and crew for rain man	would you like to see results about diversity in a business setting	0
would you like to know about the symptoms of barretts esophagus	do you want to know which civil war battles took place in south carolina	0
What are the causes of lipoma tumors	are you looking for the definition to lipoma	1
do you want a designer dog	do you want to know the history	0
do you want to know about specific key people	would you like to know who are buried at culpeper national cemetery	0
figs	would you like to know where figs grow	1
Tell me about Afganistan.	would you like historical information about afghanistan	1
How can one can become highway patrol	would you like to know more about their responsibilities	1
are you interested in the cost for best long term care insurance or short term	do you want to know what vines for shade are available in your region	0
How to cure angular cheilitis	do you want to know how to avoid angular cheilitis	1
what entity are you referring to with this acrocym	would you like more information on the book or the author	0
are you interested in learning more about satellite phones or radio	is arkadelphia in the name of the health club	0
are you interested in buying tickets to a raffle	are you interested in the music brought and made by slaves	0
Tell me about vanuatu	do you want to know the population	1
are you looking to find a djs website	are you looking for a particular casino in french lick	0
what do you need to know about wilsons disease	are you interested in the history of the pcoconos	0
Tell me about vanuatu	are you interested in visiting	1
would you like to know if hes chinese of japanese	may i tell you about brewsters parents where and when he was born	0
would you like to find an app for wedding budgeting	are you looking for a particular artist	0
Tell me about Korean language.	are you interested in korean language classes	1
Where can I find cheap internet	are you wondering where cheap internet is	1
are you looking for biodegradable dog clean up bags	would you like to see pictures to help you identify types of spider bites	0
Tell me about Bellevue.	are you referring to bellevue iowa	1
are you looking for information about the sports facilities at the school	are you wondering where the ritz carlton in las vegas is located	0
do you want to know about the cause of von willebrand disease	are yoiu looking for information on plate tectonics	0
would you like to buy the book the art of war	do you want to know the types of prescribed antipsychotic drugs	0
Information about raffles	would you like to book a room in raffles hotel in dubai	1
do you want to learn how to make furniture	what do you want to use the antenna for	0
are you interested in digital pianos	are you referring to the titans from titanfall	0
which continental plates are you interested in	would you like to know the rescue efforts for the uss cole	0
what is the best long term care insurance	what area of the country do you live in	1
are you looking for specific products related to getting organized	are you willing to adopt a shelter dog	0
I'm looking for universal animal cuts reviews	did you want to know if the price was worth it	1
Tell me more about satilies	are you referring to the company called satellite industries inc	1
are you looking for directions to the ritz carlton in las vegas	would you like a list of common interview questions	0
which of sun tzus writings are you interested in	what variety of figs are you interested in	0
What are specific dangers of asbestos?	are you interested in the levels of dangers associated with asbsestos	1
are you interested in where they grow	are you looking for a map of continental plates	0
Tell me about folk remedies for a sore throat.	are you interested in making your own medicine to cure a sore throat	1
what historic period would you like information pertaining to	are you looking for the official rules of golf	0
do you want general information about the test	are there any important related factors or complications you want to know about regarding carpal tunnel syndrome	0
I'd like to learn about moths	are you really reffering to mothra	1
are you wondering what pampered chef sells	are you looking to use butter and margarine in baking	0
do you want to know about short term or long term capital gains tax rate	for what route are you seeking information	0
which battle would you like to learn about how the technique of flushing was used	would you like a map of nearby locations where you can recycle lead acid batteries	0
would you like to know about walkers method of perming hair	what type of appraisals do you need informatiom about	0
are you looking bellevue square mall	did you want to know how to treat mad cow disease	0
Find information on Hoboken	do you want to know where hoboken is	1
are you referring to a certain philosohper	are your referring to damages sustained due to hurrican irene flooding in manville nj	0
What is equal opportunity employer?	would you like to see how to meet the legal requirement to be an equal opportunity employer	1
who invented music	do you want information on the person who invented music	1
Tell me about Bellevue.	are you looking for the university the bellevue	1
are you looking for netflix	do you want to know how to tie a full windsor knot	0
are you interested in downloading the album the wall	are you interested in playing online games	0
tell me about idaho state flower	would you like to know how big they grow	1
Where can I find information about forearm pain?	do you have forearm pain when extending your arm	1
are you looking for a hotel near porterville	are you interested in learning more about the us map	0
are you looking for east ridge high school in woodbury mn	would you like to know about the 2000 uss cole bombing	0
what variety of figs are you interested in	would you like to know more about the gmat test	0
what would you like to know about the afghanistan flag	are you interested in the history of the usda food pyramid	0
what problem is your horse having with their hooves	are you interested in upcomming events in kasas city mo	0
are you interested leaning about carpal tunnel syndrome symptoms	do you need a gs pay calculator	0
are you looking for a clinic that specializes in this	are you looking for home remedies	0
are you interested in pictures of worms	do you want to know how far the sun is away from different planets	0
do you want to know about specific key people	are you interested in something specific about martha stewart and imclone	0
did you want to know the amount of tourism dutchess county gets	are you looking for hobby stores located in maryland	0
who invented music	do you want the name of one person	1
Find me map of USA	are you interested in a historical map of the united states	1
woud you like to know about last supper reproductions	would you like a list of fun facts about madagascar	0
are you looking for some fun facts	would you like to know reviews for the best electronic keyboard	0
are you a dj	are you looking for indoor or outdoor halloween activities for middle school	0
are you interested in tornado safety	do you want black and white or colored designs	0
Find me information about the Ritz Carlton Lake Las Vegas.	are you wondering where the ritz carlton in las vegas is located	1
would you like me to direct you to emergency services	do you want to look at foods besides fruits and vegetables that are high in magnesium	0
Find information about atari	are you interested in playing online games	1
are you looking for companies in the wind power arena	which aspects of sun tzus role in chinese history are you interested in	0
are you wanting writings by the pastor	would you like to know more about the history behind the gs pay scale	0
i will survive lyrics	do you want the lyrics to the whole song	1
are you referring to facebook instagram linkedin or twitter regarding educational advantages	what type of adobe indian house are you looking for	0
are you interested in learning more about satellite phones or radio	would you like to know the history of churchill downs	0
Tell me about scooters.	are you looking to buy a scooter	1
What are signs of a heartattack?	would you like to know how to prevent these signs	1
I'm interested in InuYasha	are you interested in the list of inuyasha characters	1
What are the best recepies for grilling	do you want to see cookbooks for grilling	1
are you looking to see how much computer programming lessons cost	are you looking for a specific doctor at mayo clinic jacksonville fl	0
is the ps 2 games for a child or an adult	are you searching for east ridge high school located in clermont fl	0
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	do you need to contact yahoo	0
would you like to know how butter and margarine affect the food you eat	would you like to watch videos about how figs grow andor how to prepare them	0
would you like to know what their rating is compare to other car companies	how would you like to watch inuyasha episodes	0
are you interested in coloring books	do you want to know what kind of feet is good for conrolling symptoms of wilsons disease	0
Find information about the gs pay rate	are you looking fro a gs base payscale table for 2018	1
are you asking about a specific theorist	how harmful are carpenterter bees	0
are you looking to purchase a home theater system	have you talked to your doctor about heart rate	0
do you want to know how many square miles afghanistan is	what is the doctors name at this facility that you want	0
are you interesting in a certain countrys black history	do you want to find local tournaments near you	0
Tell me about Starbucks.	are you looking for current news related to starbucks	1
Find condos in Florida.	how many bedrooms do you want	1
would you like to see a list of new released ps2 games	do you want to know if barretts esophagus is serious	0
Information about bobcat	would you like to know of any bobcats for sale	1
I'd like to learn about moths	do you need to identify a moth	1
what problem is your horse having with their hooves	do you want to know how to cook with rice	0
are you interested in the cost for best long term care insurance or short term	what are the features of f5 tornado	0
which dinosaurs are you interested in	do you want to buy rock art	0
Find information about tornadoes	are you wondering how to spot a tornado	1
do you plan to sign up for coverage online	are you wanting to renovate your home in order to have a theater system	0
what event of the revolution do you want to know more about	do you want to know if they are a requirement where you live	0
do you want to find out what the hawaiian volcano observatories have been monitoring	are you interested in learning more about ralph owen brewseter	0
are you really reffering to mothra	are you interested in the farm fresh tours	0
are you looking for some fun facts	are you interested in something specific about martha stewart and imclone	0
would you like to know maore about getting the best used car parts	do you want to attend a pampered chef party	0
would you like to see a list of new released ps2 games	are you interested in the middle name of the current vice president of the united states	0
would you like to know why some scientists think the yellowstone volcano is in the process of dying	are you curious what a land surveyor does	0
which tv and computer information would you like to know more about	do you mean the book or the movie	0
do you need a phone number	are you interested in new york hotel prices	0
Child support in Indiana?	are you interested in indiana child support	1
would you like to know where to get treatment	are you looking for a specific event or activity	0
tell me about evidence for evolution	are you interested in the history of theories of evolution	1
are you interested in the years inuyasha was shown in tv	are you interested in the years inuyasha was shown in tv	0
Tell me about ps 2 games?	are you looking for ps 2 adventure games	1
do you want to know how long a female dogs heat lasts	would you like to see comparable products to universal animal cuts	0
are you looking for the history of butter and margarine	do you have a specific purpose for the antenna	0
would you like to know about symptoms causes and treatments	do you want to know about distinctive features of a flowering plant	0
Tell me about atypical squamous cells	would you like the definition of atypical squamous cells	1
would you like to place an order	are you interested in the salary of an occupational therapist	0
are you looking for lab jobs	would you like to know more about growing figs	0
Tell me about furniture for small spaces.	do you want to buy it online	1
Tell me about Afganistan.	do you want to know the weather of a specific city in afghanistan	1
what year do you want to know the president for	do you have high blood pressure	0
Tell me information about a sore throat.	are you wondering what causes sore throat	1
Find me information about PVC	are you interested in a certain fitting for a pvc pipe	1
do you want to know why the food pyramid was created	what classification would you like to know the tax rate for	0
what type of toilet are you looking for	which of the benefits of yoga are you interested in	0
which of the seven deadly sins do you want to know more about	do you want to know how much a system costs in terms of increased electronic bills	0
I'm looking for universal animal cuts reviews	would you like to see comparable products to universal animal cuts	1
do you want to take a sat prep class	are you seeking an event calendar for dutchess county	0
are you asking about the revolutionary war	are you interested in which institutions deal with this medical condition	0
Tell me about Obama family tree.	would you like to hear about president obamas family tree	1
Find information on ontario california airport.	do you know how long your trip will be	1
what are continental plates	are you referencing earthquake activity	1
I'm looking for information on the president of the united states	do you want to learn about our president	1
are you interested in the years inuyasha was shown in tv	are you wanting to read about fidel castro biography	0
would you like to buy a personalized teddy bear or a teddy bear for a specific occasion	are you intested in statistics on expats residing in india	0
are you interested in the years inuyasha was shown in tv	are you interested in comparing university of phoenix with other universities in any specific aspect	0
would you like to recycle lead acid batteries for money or for free	are you interested in atari 2600	0
do you want general information about the test	do you want to know how much the last supper painting is worth	0
tell me about UNC	what part of unc do you want info on	1
are you interested in a specific golf gps system	are you interested in seeing the bhp treatment options	0
tell me about mgb	are you looking for more information about mgb	1
I'm looking for information on Rick Warren.	are you wanting to see videos by the pastor	1
are you looking for directions to the ritz carlton in las vegas	would you like to know about the current population numbers of blue throated hummingbirds	0
are you looking for furniture	do you want to know about the geographical history of the island	0
which continental plates are you interested in	are you looking for a place to sell a used trombone	0
would you like to know the advantages and disadvantages of a indexed annuity	do you need study information from professors	0
How can I view my internet history?	which days history did you want to see	1
do you want to know about specific african american musicians	are you interested in visiting the national museum of african american music	0
Find information on hip fractures	do you need info on remedies	1
would you like to know how butter and margarine affect the food you eat	would you like to see a listing for hotels in kansas city	0
are you looking for what mgb stands for	are you looking for meat eating or plant eating dinosaurs	0
i looking for current positions	would you like to know more about indian culture and history	0
Give me information about Alexian Brothers hospitals.	which hospital facility are you look for	1
are you interested in moth life cycle	are you wanting to hear more about jehovahs witnesses denying healthcare	0
are you interested in learning about arkansas	what type of website do you need	0
which city in arkansas are you interested in	what problems with the ford edge are you asking about transmission liftgate brakes etc	0
would you like to know more about pocono raceway	would you like to see the a specific titan	0
are you looking for a clinic that specializes in this	would you like to know what avp stands for	0
would you like to know how butter and margarine affect the food you eat	would you like to visit roosevelt island	0
do you need a phone number	would you like to know the symptoms	0
are you looking to see how much computer programming lessons cost	would you like to know how it functions	0
are you looking for the stock symbol avp	are you interested in atari games or information about the brand	0
Tell me about the pacific northwest laboratory.	are you looking for lab jobs	1
do you want a map of your local area	would you like to see the retailers selling it	0
what do you need to know about wilsons disease	are you more interested in anecdotal aspects of his life	0
do you want to know what electronic skeet shoot is	which part of connecticut are you interested in	0
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	who do you want to speak with the superintendent or a principal	0
are you wanting to renovate your home in order to have a theater system	do you want to know her name	0
Tell me about Bowflex Power Pro.	are you wondering if there has been a recall notice	1
Tell me about er television show.	are you looking for a list of er episodes	1
what year do you want to know the president for	how fast would you like to lose weight	0
would you like to learn about how the usda food pyramid was created	are you looking for merchandise catalog	0
do you want to take a sat prep class	do you want to know how to define a function in a programming language	0
tell me about mgb	are you looking for mini gastric bypass surgery	1
Find me map of USA	which language of us map would you prefer	1
map	do you have map apps on your phone	1
Tell me information about Volvo.	are you asking what year the company originated	1
do you want to take a sat prep class	would you like to fill an application for a hunting licence	0
butter and margarine	are you looking for health facts of butter and mararine	1
do you need to know the cause of it	what is f5 tornados top speed	0
do you want a map of your local area	what tourist spots are you looking for in dutchess county	0
which of the capital gains tax rate are you interested in	do you want to know where rice originated	0
would you like to know about obamas ancestors	are you wondering what causes sore throat	0
would you like to know where the uss carl vinson is at right now	are you interested in comparing university of phoenix with other universities in any specific aspect	0
are you wondering where to find moths	do you want to know what it is	0
are you interested in cultivated or wild bobcats	what medications do you take for wilsons disease	0
would you like to see a company with this name	do you want to know about treatments	0
are you trying to learn the korean language	would you like the original bewitched cast	0
